pnu,is_res,n_bld,gu,in_national
1111010100100040020,False,1,11110,False
1111010100100040035,True,1,11110,False
1111010100100080002,True,1,11110,False
1111010100100120002,True,1,11110,False
1111010100100120006,True,1,11110,False
1111010100100120011,True,1,11110,False
1111010100100150008,True,1,11110,False
1111010100100150017,True,1,11110,False
1111010100100150046,True,1,11110,False
1111010100100160001,True,1,11110,False
1111010100100300013,True,1,11110,False
1111010100100380001,True,1,11110,False
1111010100100490002,False,2,11110,False
1111010100100500006,True,1,11110,False
1111010100100500030,True,1,11110,False
1111010100100500032,False,1,11110,False
1111010100100500040,True,1,11110,False
1111010100100500058,True,1,11110,False
1111010100100510005,True,1,11110,False
1111010100100520011,True,1,11110,False
1111010100100520028,False,2,11110,False
1111010100100520031,True,1,11110,False
1111010100100520081,True,1,11110,False
1111010100100530003,True,1,11110,False
1111010100100530019,True,1,11110,False
1111010100100530035,True,1,11110,False
1111010100100530070,True,1,11110,False
1111010100100560077,True,1,11110,False
1111010100100570027,True,1,11110,False
1111010100100570064,True,1,11110,False
1111010100100810001,True,1,11110,False
1111010100100820000,True,1,11110,False
1111010100100890002,True,1,11110,False
1111010100100890019,True,1,11110,False
1111010100100910000,True,1,11110,False
1111010100100950000,True,1,11110,False
1111010100101030000,False,1,11110,False
1111010100101060000,True,1,11110,False
1111010100101080008,False,1,11110,False
1111010100101170001,True,1,11110,False
1111010100101310000,False,1,11110,False
1111010200100060001,False,1,11110,False
1111010200100060006,True,1,11110,False
1111010200100060080,True,1,11110,False
1111010200100170006,True,1,11110,False
1111010200100170043,True,1,11110,False
1111010200100240000,True,1,11110,False
1111010200100360003,True,1,11110,False
1111010300100020002,True,3,11110,False
1111010300100030006,False,1,11110,False
1111010300100030008,True,1,11110,False
1111010400100400002,False,2,11110,False
1111010400100410000,True,1,11110,False
1111010400100500003,True,1,11110,False
1111010400100500007,True,1,11110,False
1111010400100500019,True,1,11110,False
1111010400100510001,True,1,11110,False
1111010400100600006,False,1,11110,False
1111010400100730002,True,1,11110,False
1111010400101010002,True,1,11110,False
1111010400101030000,True,1,11110,False
1111010400101290000,True,1,11110,False
1111010400101640007,True,1,11110,False
1111010400101640008,True,1,11110,False
1111010500100400000,True,1,11110,False
1111010500100940014,True,1,11110,False
1111010500100980002,True,1,11110,False
1111010500100980007,False,1,11110,False
1111010500100980014,True,1,11110,False
1111010500101090005,True,1,11110,False
1111010500101170001,False,2,11110,False
1111010500101170012,False,1,11110,False
1111010500101340000,False,1,11110,False
1111010500101430003,True,1,11110,False
1111010600100030000,False,1,11110,False
1111010600100350016,True,1,11110,False
1111010600100350045,True,1,11110,False
1111010600100450000,False,1,11110,False
1111010600100460003,False,1,11110,False
1111010600100630000,False,2,11110,False
1111010600100700000,False,1,11110,False
1111010600100730005,False,1,11110,False
1111010600100830001,True,1,11110,False
1111010600100850001,True,3,11110,False
1111010600101040000,False,1,11110,False
1111010700100930003,False,1,11110,False
1111010800100480006,False,1,11110,False
1111010800100740000,False,1,11110,False
1111010800100790002,True,1,11110,False
1111010800100890023,True,1,11110,False
1111010800100890026,True,2,11110,False
1111010800101130001,False,1,11110,False
1111010800101140000,False,1,11110,False
1111010800101150002,False,1,11110,False
1111010800101350002,False,1,11110,False
1111010800101490005,False,1,11110,False
1111010900100080002,True,1,11110,False
1111010900100290001,True,1,11110,False
1111010900100290003,True,1,11110,False
1111010900100290008,True,1,11110,False
1111010900100290018,True,1,11110,False
1111010900100300005,True,1,11110,False
1111010900100360003,True,1,11110,False
1111010900100410000,False,1,11110,False
1111010900100530001,True,1,11110,False
1111010900100940000,True,1,11110,False
1111010900101090000,True,1,11110,False
1111010900101220001,True,1,11110,False
1111010900101510008,True,1,11110,False
1111010900101590014,False,1,11110,False
1111010900101660051,True,1,11110,False
1111010900101660077,True,1,11110,False
1111010900101660103,True,1,11110,False
1111010900101660115,True,1,11110,False
1111010900101660116,True,1,11110,False
1111010900101660121,True,1,11110,False
1111010900101660123,True,1,11110,False
1111010900101660211,True,1,11110,False
1111010900101660249,True,1,11110,False
1111011000100010016,True,1,11110,False
1111011000100140000,True,1,11110,False
1111011000100220000,False,1,11110,False
1111011000100420001,True,1,11110,False
1111011000100790000,True,2,11110,False
1111011000100840002,True,1,11110,False
1111011000100900002,False,1,11110,False
1111011000100950000,True,1,11110,False
1111011000101080002,True,1,11110,False
1111011000101160001,True,1,11110,False
1111011000101400000,True,1,11110,False
1111011000101410001,True,1,11110,False
1111011000101450000,False,1,11110,False
1111011000101460002,False,1,11110,False
1111011000101470000,True,1,11110,False
1111011000101520000,False,1,11110,False
1111011000101620000,True,1,11110,False
1111011000101740000,True,1,11110,False
1111011000101750003,True,1,11110,False
1111011000101920001,True,1,11110,False
1111011000102070000,False,1,11110,False
1111011000102180000,False,1,11110,False
1111011000102190000,False,1,11110,False
1111011000102200000,False,1,11110,False
1111011000102220003,True,3,11110,False
1111011000102240000,False,1,11110,False
1111011000102300000,True,1,11110,False
1111011000102600000,True,1,11110,False
1111011100100050000,True,1,11110,False
1111011100100140000,True,1,11110,False
1111011100100190016,True,1,11110,False
1111011100100190040,True,1,11110,False
1111011100100190046,True,1,11110,False
1111011100100190053,True,1,11110,False
1111011100100340001,True,2,11110,False
1111011100100450021,False,1,11110,False
1111011100100450022,False,1,11110,False
1111011100100450030,False,1,11110,False
1111011100100470009,True,1,11110,False
1111011100100470016,False,1,11110,False
1111011100100470017,True,1,11110,False
1111011100100470045,True,1,11110,False
1111011100100470070,True,1,11110,False
1111011100100470071,True,1,11110,False
1111011100100470076,True,2,11110,False
1111011100100470086,True,1,11110,False
1111011100100470098,True,1,11110,False
1111011100100470103,True,1,11110,False
1111011100100470105,True,1,11110,False
1111011100100470123,True,1,11110,False
1111011100100470151,True,1,11110,False
1111011100100470152,True,1,11110,False
1111011100100470168,True,2,11110,False
1111011100100470170,True,1,11110,False
1111011100100470172,True,1,11110,False
1111011100100470180,True,1,11110,False
1111011100100470189,True,1,11110,False
1111011100100470228,True,1,11110,False
1111011100100470230,True,1,11110,False
1111011100100470244,True,1,11110,False
1111011100100470260,True,1,11110,False
1111011100100470274,True,1,11110,False
1111011100100470280,True,1,11110,False
1111011100100470285,True,1,11110,False
1111011100100470319,True,1,11110,False
1111011100100470325,True,1,11110,False
1111011100100470337,True,1,11110,False
1111011100100470360,True,1,11110,False
1111011100100470361,True,1,11110,False
1111011100100470371,True,1,11110,False
1111011100100470376,True,1,11110,False
1111011100100470389,True,1,11110,False
1111011100100470390,True,1,11110,False
1111011100100470391,True,1,11110,False
1111011100100470393,True,1,11110,False
1111011100100470394,True,1,11110,False
1111011100100470395,True,1,11110,False
1111011100100470396,True,1,11110,False
1111011100100470400,True,1,11110,False
1111011100100470402,True,1,11110,False
1111011100100470411,True,1,11110,False
1111011100100470413,True,1,11110,False
1111011100100470449,True,1,11110,False
1111011100100470458,True,2,11110,False
1111011100100470482,True,1,11110,False
1111011100100590002,True,1,11110,False
1111011100100620000,True,1,11110,False
1111011100100730000,True,1,11110,False
1111011100100790002,True,1,11110,False
1111011100101040000,False,1,11110,False
1111011100101360000,True,1,11110,False
1111011100101420000,True,1,11110,False
1111011100101460000,False,1,11110,False
1111011100101530001,True,1,11110,False
1111011100101560001,True,2,11110,False
1111011100101560007,True,1,11110,False
1111011100101700000,True,1,11110,False
1111011100101700003,True,1,11110,False
1111011100101720001,False,1,11110,False
1111011100101790003,True,1,11110,False
1111011100101790004,True,1,11110,False
1111011100101790005,True,1,11110,False
1111011100101830004,True,1,11110,False
1111011100101850002,True,1,11110,False
1111011100101850004,True,1,11110,False
1111011100101870001,True,1,11110,False
1111011200100040000,True,1,11110,False
1111011200100060000,True,1,11110,False
1111011200100200000,True,1,11110,False
1111011200100390002,False,1,11110,False
1111011200100520000,False,1,11110,False
1111011200100560000,False,1,11110,False
1111011200100660000,True,1,11110,False
1111011200100680000,True,3,11110,False
1111011200100890000,True,1,11110,False
1111011200100920005,True,1,11110,False
1111011200101050000,True,1,11110,False
1111011200101110008,True,1,11110,False
1111011200101280003,False,1,11110,False
1111011200101500004,True,1,11110,False
1111011200101630008,True,1,11110,False
1111011200101960000,True,1,11110,False
1111011200102010002,False,1,11110,False
1111011200102020000,True,1,11110,False
1111011200102060000,True,1,11110,False
1111011200102120000,True,2,11110,False
1111011300100240000,True,1,11110,False
1111011300100280000,True,1,11110,False
1111011300100310001,True,1,11110,False
1111011300100360000,True,1,11110,False
1111011300100550006,True,1,11110,False
1111011300100660002,True,1,11110,False
1111011300100890002,False,1,11110,False
1111011300101240001,False,1,11110,False
1111011300101300002,True,1,11110,False
1111011300101380000,False,1,11110,False
1111011300101440003,False,1,11110,False
1111011300101700000,False,1,11110,False
1111011300101740001,True,1,11110,False
1111011300101840003,False,1,11110,False
1111011300102100001,False,1,11110,False
1111011300102780006,False,1,11110,False
1111011400101100000,False,1,11110,False
1111011400102010011,False,2,11110,False
1111011500100010027,False,1,11110,False
1111011500100010035,True,1,11110,False
1111011500101790003,True,1,11110,False
1111011500102370001,False,1,11110,False
1111011500102620011,True,1,11110,False
1111011500103040001,True,1,11110,False
1111011500103040039,True,1,11110,False
1111011500103110007,True,1,11110,False
1111011500103110012,True,1,11110,False
1111011500103110037,True,1,11110,False
1111011500103340006,True,1,11110,False
1111011500103340007,True,2,11110,False
1111011500200010011,False,1,11110,False
1111011600100320000,False,1,11110,False
1111011600100790002,False,1,11110,False
1111011600100950001,False,2,11110,False
1111011600101160001,False,1,11110,False
1111011600101170001,False,1,11110,False
1111011600101500008,False,1,11110,False
1111011700101000000,True,1,11110,False
1111011700101170000,False,1,11110,False
1111011700101650003,False,1,11110,False
1111011800101100005,False,1,11110,False
1111011900100010000,False,4,11110,False
1111011900101000000,False,1,11110,False
1111011900102000000,False,1,11110,False
1111012000100330000,False,1,11110,False
1111012000100400003,True,1,11110,False
1111012000100420000,False,1,11110,False
1111012000100580012,False,1,11110,False
1111012000100580018,False,1,11110,False
1111012100100010039,True,1,11110,False
1111012100100010075,True,1,11110,False
1111012100100010102,True,1,11110,False
1111012100100010104,False,1,11110,False
1111012100100010112,True,3,11110,False
1111012100100010114,True,1,11110,False
1111012100100010116,True,1,11110,False
1111012100100010117,False,1,11110,False
1111012100100010137,True,1,11110,False
1111012100100010140,False,1,11110,False
1111012100100010144,False,1,11110,False
1111012100100010145,False,1,11110,False
1111012100100010148,True,1,11110,False
1111012100100010159,True,1,11110,False
1111012100100010160,False,1,11110,False
1111012100100010166,True,1,11110,False
1111012100100010171,True,1,11110,False
1111012100100010174,True,1,11110,False
1111012100100010180,False,1,11110,False
1111012100100010182,False,1,11110,False
1111012100100010219,True,1,11110,False
1111012100100010241,False,1,11110,False
1111012100100010251,False,1,11110,False
1111012100100010288,True,1,11110,False
1111012100100010290,True,1,11110,False
1111012100100010294,True,1,11110,False
1111012100100010309,True,1,11110,False
1111012100100010348,False,1,11110,False
1111012100100010402,False,1,11110,False
1111012100100020064,False,1,11110,False
1111012100100040003,False,1,11110,False
1111012100100060003,False,4,11110,False
1111012100100070005,True,2,11110,False
