lt_c_aistmac                 | 접근관제구역
lt_c_up201                   | 재해위험지구
lt_c_lhzone                  | 사업지구경계도
lt_c_aisdngc                 | 위험구역
lt_c_wgisnpdo                | 도립자연공원
lt_c_upisuq153               | 도시계획(공간시설)
lt_c_landinfobasemap         | LX맵
lt_c_wgisiedosi              | 첨단산업단지
lt_c_desch                   | 초등학교통학구역
lt_c_a3drivewaysection       | 차도구간
lt_l_aisvfrpath              | 시계비행로
lt_p_aisvfrpath              | 시계비행로
lt_p_moctnode                | 교통노드
lt_c_aisfirc                 | 비행정보구역
lt_c_um301                   | 대기환경규제지역
lt_c_dmsch                   | 중학교학교군
lt_c_dgmainbiz               | 주요상권
lt_l_frstclimb               | 등산로
lt_p_climball                | 등산로
lt_c_uq111                   | 도시지역
lt_c_uq130                   | 특정용도제한지구
lt_c_adsido                  | 광역시도
lt_p_c1trafficlight          | 신호등
lt_c_upisuq158               | 도시계획(환경기초시설)
lt_p_tradsijang              | 전통시장현황
lt_c_damyoj                  | 단지시설용지
lt_c_upisuq151               | 도시계획(도로)
lt_c_upisuq152               | 도시계획(교통시설)
lt_c_wkmbbsn                 | 대권역
lt_c_aisfldc                 | 경량항공기이착륙장
lt_c_wgisnpgun               | 군립자연공원
lt_c_uq126                   | 보호지구
lt_c_asitsoildra             | 배수등급
lt_c_uo601                   | 관광지
lt_c_wgispl2abs              | (2차) 보전연안해역
lt_c_uh701                   | 벤처기업육성지역
lt_c_ud601                   | 주거환경개선지구도
lt_c_eadist                  | 교육행정구역
lp_pa_cbnd_bubun             | 연속지적도
lp_pa_cbnd_bonbun            | 연속지적도
lt_c_uo101                   | 교육환경보호구역
lt_p_weissitemd              | 수질측정망농업용수지점
lt_c_agrixue101              | 농업진흥지역도
lt_c_uq114                   | 자연환경보전지역
lt_c_upisuq156               | 도시계획(방재시설)
lt_c_aisaltc                 | 경계구역
lt_c_uo501                   | 전통사찰보존
lt_p_smalllibrary            | 작은도서관
lt_c_aisctrc                 | 관제권
lt_c_um000                   | 가축사육제한구역
lt_c_uf151                   | 산림보호구역
lt_c_uh501                   | 유통단지
lt_l_b2surfacelinemark       | 노면선표시
lt_c_fsdifrsts               | 산림입지도
lt_p_bycracks                | 자전거보관소
lt_c_agrixue102              | 영농여건불리농지도
lt_l_a2link                  | 주행경로링크
lt_c_adsigg                  | 시군구
